postal_code,lat_long
598326.0,"1.33657351759693,103.780297255982"
308143.0,"1.31908636997896,103.847053580169"
288353.0,"1.32580825364563,103.812516919467"
439857.0,"1.29905394548315,103.899416943562"
229391.0,"1.30505900921312,103.83923580687"
439866.0,"1.29965226936589,103.898829231978"
288407.0,"1.32731952558617,103.812831770778"
269854.0,"1.31278741680729,103.799362688634"
238405.0,"1.29654740365131,103.834312625459"
546430.0,"1.36188087378278,103.881398348867"
288422.0,"1.32930490165283,103.811999217829"
238324.0,"1.29570410515931,103.839811752808"
408832.0,"1.33288462898322,103.892303618387"
298127.0,"1.3270913316471,103.841978573745"
438646.0,"1.31169308156397,103.896306665361"
546920.0,"1.36337539329938,103.874531123321"
546066.0,"1.36159913009846,103.877967293114"
429021.0,"1.30882433610902,103.913449991483"
548147.0,"1.35734285723974,103.880518888518"
79119.0,"1.2734661134853,103.845580792511"
228451.0,"1.3014000099814,103.846196007806"
539060.0,"1.34477300646021,103.872318867919"
258502.0,"1.30691037082483,103.820682699525"
238216.0,"1.29021050421929,103.83756182148"
437826.0,"1.30263281181216,103.898397980442"
357900.0,"1.33591796463135,103.869688700669"
828779.0,"1.40541244115535,103.900104151508"
238366.0,"1.29610970657652,103.838506457383"
437980.0,"1.29872414233917,103.897227038286"
259948.0,"1.30966847157664,103.828042695173"
289895.0,"1.32784327123408,103.813314335087"
289880.0,"1.32486107503739,103.813104547602"
229976.0,"1.30124327686908,103.847738410626"
309466.0,"1.3164463549549,103.846258551824"
388222.0,"1.31392103072017,103.883276357397"
539960.0,"1.35014992973273,103.88306233961"
327994.0,"1.32732661439014,103.864035551424"
238097.0,Not Found
309972.0,"1.32272793298026,103.847658788312"
229743.0,"1.30741535240087,103.83971731014"
466515.0,Not Found
307669.0,"1.32430300605838,103.841018068843"
159967.0,"1.29050566271653,103.822587341402"
159949.0,"1.29113340546347,103.807354818647"
159948.0,"1.29130379243474,103.807350978054"
278637.0,"1.31987664656565,103.781130442617"
259727.0,"1.31943645952176,103.827347301883"
427037.0,"1.31183807963778,103.905403243169"
79717.0,"1.27461794103822,103.844319553688"
307674.0,"1.32462490510501,103.841341512332"
554773.0,"1.34945371926965,103.866975968227"
307953.0,"1.31471753038515,103.841428522625"
439866.0,"1.29965226936589,103.898829231978"
439888.0,"1.30125623537256,103.900826087949"
439845.0,"1.29886131925695,103.898522862752"
439888.0,"1.30125623537256,103.900826087949"
439852.0,Not Found
439964.0,"1.30160567705889,103.900606867587"
449266.0,Not Found
329506.0,"1.32619487244445,103.851066785455"
