Project Name,District/Planning Area,Completion,URL
1 KING ALBERT PARK,D21 / Bukit Timah,1997,https://www.edgeprop.sg/condo-apartment/1-king-albert-park
1 MOULMEIN RISE,D11 / Novena,2003,https://www.edgeprop.sg/condo-apartment/1-moulmein-rise
10 SHELFORD,D11 / Bukit Timah,2014,https://www.edgeprop.sg/condo-apartment/10-shelford
11 AMBER ROAD,D15 / Marine Parade,2004,https://www.edgeprop.sg/condo-apartment/11-amber-road
111 EMERALD HILL,D9 / Newton,2011,https://www.edgeprop.sg/condo-apartment/111-emerald-hill
16 @ AMBER,D15 / Marine Parade,2014,https://www.edgeprop.sg/condo-apartment/16-amber
18 SHELFORD,D11 / Bukit Timah,2010,https://www.edgeprop.sg/condo-apartment/18-shelford
YGK GARDEN,D10 / Bukit Timah,2008,https://www.edgeprop.sg/condo-apartment/ygk-garden
2 RVG,D9 / River Valley,2006,https://www.edgeprop.sg/condo-apartment/2-rvg
21 RICHARDS,D19 / Hougang,2013,https://www.edgeprop.sg/condo-apartment/21-richards
28 SHELFORD,D11 / Bukit Timah,1994,https://www.edgeprop.sg/condo-apartment/28-shelford
283 STUDIO,D9 / River Valley,2012,https://www.edgeprop.sg/condo-apartment/283-studio
2B COMPLEX,D9 / Singapore River,2018,https://www.edgeprop.sg/condo-apartment/2b-complex
368 THOMSON,D11 / Novena,2014,https://www.edgeprop.sg/condo-apartment/368-thomson
38 I SUITES,D15 / Geylang,2014,https://www.edgeprop.sg/condo-apartment/38-i-suites
3@PHILLIPS,D19 / Hougang,2007,https://www.edgeprop.sg/condo-apartment/3phillips
3@SANDILANDS,D19 / Hougang,2010,https://www.edgeprop.sg/condo-apartment/3sandilands
448@EAST COAST,D15 / Bedok,2013,https://www.edgeprop.sg/condo-apartment/448east-coast
57 @ KOVAN,D19 / Hougang,2012,https://www.edgeprop.sg/condo-apartment/57-kovan
76 SHENTON,D2 / Downtown Core,2014,https://www.edgeprop.sg/condo-apartment/76-shenton
8 @ MOUNT SOPHIA,D9 / Rochor,2007,https://www.edgeprop.sg/condo-apartment/8-mount-sophia
8 EDEN GROVE,D19 / Serangoon,1999,https://www.edgeprop.sg/condo-apartment/8-eden-grove
8 NAPIER,D10 / Tanglin,2010,https://www.edgeprop.sg/condo-apartment/8-napier
8 RODYK,D9 / Singapore River,2011,https://www.edgeprop.sg/condo-apartment/8-rodyk
833 M B RESIDENCES,D15 / Marine Parade,2012,https://www.edgeprop.sg/condo-apartment/833-m-b-residences
8@WOODLEIGH,D13 / Toa Payoh,2012,https://www.edgeprop.sg/condo-apartment/8woodleigh
A TREASURE TROVE,D19 / Punggol,2015,https://www.edgeprop.sg/condo-apartment/a-treasure-trove
336 RIVER VALLEY,D9 / River Valley,1984,https://www.edgeprop.sg/condo-apartment/336-river-valley
AALTO,D15 / Marine Parade,2010,https://www.edgeprop.sg/condo-apartment/aalto
ABELIA,D10 / Newton,1993,https://www.edgeprop.sg/condo-apartment/abelia
