Condo Name,Town,District,Launch Date (TOP)
MARINA BAY RESIDENCES,"Boat Quay, Chinatown, Marina Square",District 01,2010
MARINA BAY SUITES,"Boat Quay, Chinatown, Marina Square",District 01,2013
MARINA ONE RESIDENCES,"Boat Quay, Chinatown, Marina Square",District 01,2018
ONE SHENTON,"Boat Quay, Chinatown, Marina Square",District 01,2010
ROBINSON SUITES,"Boat Quay, Chinatown, Marina Square",District 01,2014
THE CENTRAL,"Boat Quay, Chinatown, Marina Square",District 01,2007
THE CLIFT,"Boat Quay, Chinatown, Marina Square",District 01,2011
THE SAIL @ MARINA BAY,"Boat Quay, Chinatown, Marina Square",District 01,2008
76 SHENTON,"Shenton Way, Tanjong Pagar",District 02,2014
ALTEZ,"Shenton Way, Tanjong Pagar",District 02,2014
CRAIG PLACE,"Shenton Way, Tanjong Pagar",District 02,2003
DORSETT RESIDENCES,"Shenton Way, Tanjong Pagar",District 02,2013
EL CENTRO,"Shenton Way, Tanjong Pagar",District 02,2004
EON SHENTON,"Shenton Way, Tanjong Pagar",District 02,2019
ICON,"Shenton Way, Tanjong Pagar",District 02,2007
ONZE @ TANJONG PAGAR,"Shenton Way, Tanjong Pagar",District 02,2018
SKYSUITES @ ANSON,"Shenton Way, Tanjong Pagar",District 02,2015
SPOTTISWOODE 18,"Shenton Way, Tanjong Pagar",District 02,2015
SPOTTISWOODE RESIDENCES,"Shenton Way, Tanjong Pagar",District 02,2014
SPOTTISWOODE SUITES,"Shenton Way, Tanjong Pagar",District 02,2017
THE ARRIS,"Shenton Way, Tanjong Pagar",District 02,2003
THE BEACON,"Shenton Way, Tanjong Pagar",District 02,2008
THE LUMIERE,"Shenton Way, Tanjong Pagar",District 02,2010
V ON SHENTON,"Shenton Way, Tanjong Pagar",District 02,2017
ALESSANDREA,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2004
ALEX RESIDENCES,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2019
ALEXIS,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2012
ARTRA,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2020
ASCENTIA SKY,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2013
COMMONWEALTH TOWERS,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2019
DOMAIN 21,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2007
ECHELON,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2016
GLOBAL RESIDENCE @ TIONG BAHRU,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2007
HIGHLINE RESIDENCES,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2018
MERAPRIME,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2006
QUEENS,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2002
QUEENS PEAK,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2020
REGENCY SUITES,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2008
TANGLIN VIEW,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2002
THE LANDMARK,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2025
THE METROPOLITAN,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2009
THE REGENCY AT TIONG BAHRU,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2010
TWIN REGENCY,"Alexandra Road, Tiong Bahru, Queenstown",District 03,2007
CAPE ROYALE,"Keppel, Sentosa, Telok Blangah",District 04,2013
CARIBBEAN AT KEPPEL BAY,"Keppel, Sentosa, Telok Blangah",District 04,2004
CORAL ISLAND,"Keppel, Sentosa, Telok Blangah",District 04,2007
CORALS AT KEPPEL BAY,"Keppel, Sentosa, Telok Blangah",District 04,2016
HARBOUR SUITES,"Keppel, Sentosa, Telok Blangah",District 04,2014
KASARA,"Keppel, Sentosa, Telok Blangah",District 04,2012
MARINA COLLECTION,"Keppel, Sentosa, Telok Blangah",District 04,2011
OCEAN 8,"Keppel, Sentosa, Telok Blangah",District 04,2010
PARADISE ISLAND,"Keppel, Sentosa, Telok Blangah",District 04,2009
PEARL ISLAND,"Keppel, Sentosa, Telok Blangah",District 04,2013
REFLECTIONS AT KEPPEL BAY,"Keppel, Sentosa, Telok Blangah",District 04,2011
SANDY ISLAND,"Keppel, Sentosa, Telok Blangah",District 04,2013
SEASCAPE,"Keppel, Sentosa, Telok Blangah",District 04,2010
SENTOSA COVE,"Keppel, Sentosa, Telok Blangah",District 04,2008
SEVEN PALMS SENTOSA COVE,"Keppel, Sentosa, Telok Blangah",District 04,2013
SKYLINE RESIDENCES,"Keppel, Sentosa, Telok Blangah",District 04,2015
TERESA 8,"Keppel, Sentosa, Telok Blangah",District 04,2008
TERESA VILLAS,"Keppel, Sentosa, Telok Blangah",District 04,2011
THE AZURE,"Keppel, Sentosa, Telok Blangah",District 04,2008
THE BERTH BY THE COVE,"Keppel, Sentosa, Telok Blangah",District 04,2006
THE BERTHSIDE,"Keppel, Sentosa, Telok Blangah",District 04,2006
THE COAST AT SENTOSA COVE,"Keppel, Sentosa, Telok Blangah",District 04,2009
THE FORESTA @ MOUNT FABER,"Keppel, Sentosa, Telok Blangah",District 04,2015
THE GREEN COLLECTION,"Keppel, Sentosa, Telok Blangah",District 04,2012
THE INTERLACE,"Keppel, Sentosa, Telok Blangah",District 04,2013
THE OCEANFRONT @ SENTOSA COVE,"Keppel, Sentosa, Telok Blangah",District 04,2010
THE PEARL @ MOUNT FABER,"Keppel, Sentosa, Telok Blangah",District 04,2005
THE REEF AT KING’S DOCK,"Keppel, Sentosa, Telok Blangah",District 04,2025
THE RESIDENCES AT W SENTOSA COVE,"Keppel, Sentosa, Telok Blangah",District 04,2010
THE VILLAS @ SENTOSA COVE,"Keppel, Sentosa, Telok Blangah",District 04,2007
TURQUOISE,"Keppel, Sentosa, Telok Blangah",District 04,2010
BIJOU,"Buona Vista, West Coast, Clementi",District 05,2018
BLUE HORIZON,"Buona Vista, West Coast, Clementi",District 05,2005
BOTANNIA,"Buona Vista, West Coast, Clementi",District 05,2009
CARABELLE,"Buona Vista, West Coast, Clementi",District 05,2009
CLAVON,"Buona Vista, West Coast, Clementi",District 05,2024
CLEMENTI WOODS CONDO,"Buona Vista, West Coast, Clementi",District 05,2010
CRYSTAL HEIGHTS,"Buona Vista, West Coast, Clementi",District 05,2010
FABER CREST,"Buona Vista, West Coast, Clementi",District 05,2002
HORIZON RESIDENCES,"Buona Vista, West Coast, Clementi",District 05,2014
HUNDRED TREES,"Buona Vista, West Coast, Clementi",District 05,2013
ICON @ PASIR PANJANG,"Buona Vista, West Coast, Clementi",District 05,2018
JUBILEE RESIDENCE,"Buona Vista, West Coast, Clementi",District 05,2008
JULUCA,"Buona Vista, West Coast, Clementi",District 05,2010
LUXE VILLE,"Buona Vista, West Coast, Clementi",District 05,2013
LYNNSVILLE 331,"Buona Vista, West Coast, Clementi",District 05,2009
MONTEREY PARK,"Buona Vista, West Coast, Clementi",District 05,2006
MURANO,"Buona Vista, West Coast, Clementi",District 05,2009
NEWEST,"Buona Vista, West Coast, Clementi",District 05,2017
CITY GATE,"Beach Road, Bugis, Rochor",District 07,2018
CONCOURSE SKYLINE,"Beach Road, Bugis, Rochor",District 07,2014
DUO RESIDENCES,"Beach Road, Bugis, Rochor",District 07,2017
MIDTOWN MODERN,"Beach Road, Bugis, Rochor",District 07,2025
PARRY COURT,"Beach Road, Bugis, Rochor",District 07,2005
SOUTHBANK,"Beach Road, Bugis, Rochor",District 07,2009
SUNSHINE PLAZA RESIDENCES,"Beach Road, Bugis, Rochor",District 07,2001
TAN QUEE LAN SUITES,"Beach Road, Bugis, Rochor",District 07,2006
28 RC SUITES,"Little India, Farrer Park",District 08,2017
8 FARRER SUITES,"Little India, Farrer Park",District 08,2015
BLISS REGALIA,"Little India, Farrer Park",District 08,2009
CARLYX GREEN,"Little India, Farrer Park",District 08,2009
CARLYX RESIDENCE,"Little India, Farrer Park",District 08,2006
CAVAN SUITES,"Little India, Farrer Park",District 08,2013
CHERRY LOFT,"Little India, Farrer Park",District 08,2008
CITIGATE RESIDENCE,"Little India, Farrer Park",District 08,2011
CITY LOFT,"Little India, Farrer Park",District 08,2011
CITY SQUARE RESIDENCES,"Little India, Farrer Park",District 08,2009
CITY STUDIOS,"Little India, Farrer Park",District 08,2010
CITYLIGHTS,"Little India, Farrer Park",District 08,2007
CITYSCAPE AT FARRER PARK,"Little India, Farrer Park",District 08,2015
CLYDES RESIDENCE,"Little India, Farrer Park",District 08,2006
D'CAMBRIDGE,"Little India, Farrer Park",District 08,2006
FARRER PARK SUITES,"Little India, Farrer Park",District 08,2011
FORTE SUITES,"Little India, Farrer Park",District 08,2018
HERTFORD COLLECTION,"Little India, Farrer Park",District 08,2013
JOOL SUITES,"Little India, Farrer Park",District 08,2013
KENT RESIDENCES,"Little India, Farrer Park",District 08,2010
KERRISDALE,"Little India, Farrer Park",District 08,2006
LE SOMME,"Little India, Farrer Park",District 08,2017
LOFT @ RANGOON,"Little India, Farrer Park",District 08,2013
MERA SPRINGS,"Little India, Farrer Park",District 08,2008
OXFORD SUITES,"Little India, Farrer Park",District 08,2011
PARC SOMME,"Little India, Farrer Park",District 08,2012
PRISTINE HEIGHTS,"Little India, Farrer Park",District 08,2008
R66 APARTMENTS,"Little India, Farrer Park",District 08,2007
RACE COURSE 138,"Little India, Farrer Park",District 08,2004
RACE COURSE MANSION,"Little India, Farrer Park",District 08,2005
111 EMERALD HILL,"Orchard, River Valley",District 09,2011
1919,"Orchard, River Valley",District 09,2015
283 STUDIO,"Orchard, River Valley",District 09,2013
2RVG,"Orchard, River Valley",District 09,2006
8 @ MOUNT SOPHIA,"Orchard, River Valley",District 09,2007
8 RODYK,"Orchard, River Valley",District 09,2011
ALBA,"Orchard, River Valley",District 09,2015
ASPEN LINQ,"Orchard, River Valley",District 09,2014
ATTITUDE @ KIM YAM,"Orchard, River Valley",District 09,2011
BELLE VUE RESIDENCES,"Orchard, River Valley",District 09,2010
BELMONDO VIEW,"Orchard, River Valley",District 09,2003
BRENTWOOD VILLAS,"Orchard, River Valley",District 09,2005
CAIRNHILL CREST,"Orchard, River Valley",District 09,2005
CAIRNHILL NINE,"Orchard, River Valley",District 09,2016
CAIRNHILL RESIDENCES,"Orchard, River Valley",District 09,2010
CENTENNIA SUITES,"Orchard, River Valley",District 09,2014
CITY VISTA RESIDENCE,"Orchard, River Valley",District 09,2011
CITYVALE,"Orchard, River Valley",District 09,2003
CLAREMONT,"Orchard, River Valley",District 09,2001
DEVONSHIRE 12,"Orchard, River Valley",District 09,2015
DEVONSHIRE 8,"Orchard, River Valley",District 09,2017
DEVONSHIRE RESIDENCES,"Orchard, River Valley",District 09,2014
38 DRAYCOTT DRIVE,"Bukit Timah, Holland, Tanglin",District 10,2002
8 NAPIER,"Bukit Timah, Holland, Tanglin",District 10,2010
9 NASSIM ROAD,"Bukit Timah, Holland, Tanglin",District 10,2003
ALIAS VILLAS,"Bukit Timah, Holland, Tanglin",District 10,2017
ARDMORE 3,"Bukit Timah, Holland, Tanglin",District 10,2015
ARDMORE II,"Bukit Timah, Holland, Tanglin",District 10,2010
ARDMORE PARK,"Bukit Timah, Holland, Tanglin",District 10,2001
ARDMORE RESIDENCE,"Bukit Timah, Holland, Tanglin",District 10,2013
BALMORAL 8,"Bukit Timah, Holland, Tanglin",District 10,2003
BALMORAL CREST,"Bukit Timah, Holland, Tanglin",District 10,2003
BALMORAL HEIGHTS,"Bukit Timah, Holland, Tanglin",District 10,2005
BALMORAL HILLS,"Bukit Timah, Holland, Tanglin",District 10,2007
BALMORAL RESIDENCES,"Bukit Timah, Holland, Tanglin",District 10,2003
BEAUFORT ON NASSIM,"Bukit Timah, Holland, Tanglin",District 10,2008
1 MOULMEIN RISE,"Newton, Dunearn, Watten Estate",District 11,2003
10 SHELFORD,"Newton, Dunearn, Watten Estate",District 11,2014
15 NEWTON,"Newton, Dunearn, Watten Estate",District 11,2010
18 SHELFORD,"Newton, Dunearn, Watten Estate",District 11,2011
26 NEWTON,"Newton, Dunearn, Watten Estate",District 11,2016
368 THOMSON,"Newton, Dunearn, Watten Estate",District 11,2014
6 DERBYSHIRE,"Newton, Dunearn, Watten Estate",District 11,2017
7 CHANCERY HILL WALK,"Newton, Dunearn, Watten Estate",District 11,2005
8 BASSEIN,"Newton, Dunearn, Watten Estate",District 11,2015
ADAM GREEN,"Newton, Dunearn, Watten Estate",District 11,2013
ADAM PARK CONDO,"Newton, Dunearn, Watten Estate",District 11,2004
ADRIA,"Newton, Dunearn, Watten Estate",District 11,2013
ALEGRIA BOUTIQUE APARTMENTS,"Newton, Dunearn, Watten Estate",District 11,2005
AMANINDA,"Newton, Dunearn, Watten Estate",District 11,2005
AMARYLLIS VILLE,"Newton, Dunearn, Watten Estate",District 11,2004
APLETON VIEW,"Newton, Dunearn, Watten Estate",District 11,2005
BARKER 9,"Newton, Dunearn, Watten Estate",District 11,2014
BARKER TERRACES,"Newton, Dunearn, Watten Estate",District 11,2008
BARKER VILLE,"Newton, Dunearn, Watten Estate",District 11,2010
BUCKLEY 18,"Newton, Dunearn, Watten Estate",District 11,2009
BUCKLEY CLASSIQUE,"Newton, Dunearn, Watten Estate",District 11,2014
BUCKLEY RESIDENCE,"Newton, Dunearn, Watten Estate",District 11,2008
CHANCERY HILL VILLAS,"Newton, Dunearn, Watten Estate",District 11,2017
CITY EDGE,"Newton, Dunearn, Watten Estate",District 11,2008
CUBE 8,"Newton, Dunearn, Watten Estate",District 11,2013
D'CHATEAU @ SHELFORD,"Newton, Dunearn, Watten Estate",District 11,2012
D'EVELYN,"Newton, Dunearn, Watten Estate",District 11,2008
D'IXORAS,"Newton, Dunearn, Watten Estate",District 11,2013
8 RAJA,"Balestier, Toa Payoh, Serangoon",District 12,2013
AIRSTREAM,"Balestier, Toa Payoh, Serangoon",District 12,2013
ASCENT @ 456,"Balestier, Toa Payoh, Serangoon",District 12,2017
BALESTIER 288,"Balestier, Toa Payoh, Serangoon",District 12,2004
BEACON HEIGHTS,"Balestier, Toa Payoh, Serangoon",District 12,2012
BLISS LOFT,"Balestier, Toa Payoh, Serangoon",District 12,2014
CALARASI,"Balestier, Toa Payoh, Serangoon",District 12,2004
CASA FORTUNA,"Balestier, Toa Payoh, Serangoon",District 12,2012
CHELSEA GROVE,"Balestier, Toa Payoh, Serangoon",District 12,2007
CITY REGENCY,"Balestier, Toa Payoh, Serangoon",District 12,2009
CITY SUITES,"Balestier, Toa Payoh, Serangoon",District 12,2016
CRADELS,"Balestier, Toa Payoh, Serangoon",District 12,2015
D'LOTUS,"Balestier, Toa Payoh, Serangoon",District 12,2007
D'MIRA,"Balestier, Toa Payoh, Serangoon",District 12,2013
DE ROYALE,"Balestier, Toa Payoh, Serangoon",District 12,2006
DOMUS,"Balestier, Toa Payoh, Serangoon",District 12,2012
ECOVILLE,"Balestier, Toa Payoh, Serangoon",District 12,2008
EIGHT RIVERSUITES,"Balestier, Toa Payoh, Serangoon",District 12,2016
GAIA,"Balestier, Toa Payoh, Serangoon",District 12,2015
I RESIDENCES,"Balestier, Toa Payoh, Serangoon",District 12,2011
KALLANG RIVERSIDE,"Balestier, Toa Payoh, Serangoon",District 12,2019
KIM KEAT GARDENS,"Balestier, Toa Payoh, Serangoon",District 12,2003
18 WOODSVILLE,"Potong Pasir, Macpherson",District 13,2015
8 @ WOODLEIGH,"Potong Pasir, Macpherson",District 13,2012
BELLA VISTA,"Potong Pasir, Macpherson",District 13,2009
BELLAVILLE,"Potong Pasir, Macpherson",District 13,2011
BLOSSOMS @ WOODLEIGH,"Potong Pasir, Macpherson",District 13,2007
CASA MEYA,"Potong Pasir, Macpherson",District 13,2011
CENTURION RESIDENCES,"Potong Pasir, Macpherson",District 13,2010
D'ALMIRA,"Potong Pasir, Macpherson",District 13,2012
DAISY PETALS,"Potong Pasir, Macpherson",District 13,2008
DAISY SUITES,"Potong Pasir, Macpherson",District 13,2016
DUNSFOLD 18,"Potong Pasir, Macpherson",District 13,2009
DUNSFOLD RESIDENCES,"Potong Pasir, Macpherson",District 13,2011
E MAISON,"Potong Pasir, Macpherson",District 13,2016
INTERO,"Potong Pasir, Macpherson",District 13,2009
LEICESTER LODGE,"Potong Pasir, Macpherson",District 13,2003
LEICESTER SUITES,"Potong Pasir, Macpherson",District 13,2013
LYNWOOD EIGHT,"Potong Pasir, Macpherson",District 13,2010
MATLOCK RESIDENCES,"Potong Pasir, Macpherson",District 13,2011
MEYA LODGE,"Potong Pasir, Macpherson",District 13,2005
MILFORD VILLAS,"Potong Pasir, Macpherson",District 13,2009
MOSELLA,"Potong Pasir, Macpherson",District 13,2013
NIN RESIDENCE,"Potong Pasir, Macpherson",District 13,2014
OASIS @ MULBERRY,"Potong Pasir, Macpherson",District 13,2006
ONE CHILTERN,"Potong Pasir, Macpherson",District 13,2006
ONE LEICESTER,"Potong Pasir, Macpherson",District 13,2009
ONE LYNWOOD,"Potong Pasir, Macpherson",District 13,2008
PARC ASTON,"Potong Pasir, Macpherson",District 13,2011
PARC MONDRIAN,"Potong Pasir, Macpherson",District 13,2010
PLATINUM EDGE,"Potong Pasir, Macpherson",District 13,2007
R MAISON,"Potong Pasir, Macpherson",District 13,2016
RIDGE COURT,"Potong Pasir, Macpherson",District 13,2003
RIVERBAY,"Potong Pasir, Macpherson",District 13,2015
# 1 LOFT,"Eunos, Geylang, Paya Lebar",District 14,2015
# 1 SUITES,"Eunos, Geylang, Paya Lebar",District 14,2018
28 IMPERIAL RESIDENCES,"Eunos, Geylang, Paya Lebar",District 14,2016
ASTOR,"Eunos, Geylang, Paya Lebar",District 14,2007
ATRIUM RESIDENCES,"Eunos, Geylang, Paya Lebar",District 14,2008
BEAU VISTA,"Eunos, Geylang, Paya Lebar",District 14,2008
BLISS RESIDENCES,"Eunos, Geylang, Paya Lebar",District 14,2008
BLISS VILLE,"Eunos, Geylang, Paya Lebar",District 14,2010
CANBERLIN LODGE,"Eunos, Geylang, Paya Lebar",District 14,2001
CASA AERATA,"Eunos, Geylang, Paya Lebar",District 14,2014
CASA EMERALD,"Eunos, Geylang, Paya Lebar",District 14,2002
CASCATA,"Eunos, Geylang, Paya Lebar",District 14,2005
CASSIA EDGE,"Eunos, Geylang, Paya Lebar",District 14,2018
CASSIA VIEW,"Eunos, Geylang, Paya Lebar",District 14,2001
CENTRA HEIGHTS,"Eunos, Geylang, Paya Lebar",District 14,2014
CENTRA LOFT,"Eunos, Geylang, Paya Lebar",District 14,2014
CENTRA RESIDENCE,"Eunos, Geylang, Paya Lebar",District 14,2017
CENTRA STUDIOS,"Eunos, Geylang, Paya Lebar",District 14,2014
CENTRA SUITES,"Eunos, Geylang, Paya Lebar",District 14,2013
CENTRAL GROVE,"Eunos, Geylang, Paya Lebar",District 14,2001
CENTRAL IMPERIAL,"Eunos, Geylang, Paya Lebar",District 14,2015
CENTRAL MEADOWS,"Eunos, Geylang, Paya Lebar",District 14,2003
COSMO,"Eunos, Geylang, Paya Lebar",District 14,2010
COSY LODGE,"Eunos, Geylang, Paya Lebar",District 14,2002
CRYSTAL DEW,"Eunos, Geylang, Paya Lebar",District 14,2004
11 AMBER ROAD,"Katong, Marine Parade, Siglap",District 15,2005
16 @ AMBER,"Katong, Marine Parade, Siglap",District 15,2013
38 AMBER,"Katong, Marine Parade, Siglap",District 15,2008
38 I SUITES,"Katong, Marine Parade, Siglap",District 15,2014
448 @ EAST COAST,"Katong, Marine Parade, Siglap",District 15,2014
7 ON CHAPEL,"Katong, Marine Parade, Siglap",District 15,2014
80 MEYER ROAD,"Katong, Marine Parade, Siglap",District 15,2011
833 M B RESIDENCES,"Katong, Marine Parade, Siglap",District 15,2011
8M RESIDENCES,"Katong, Marine Parade, Siglap",District 15,2017
91 MARSHALL,"Katong, Marine Parade, Siglap",District 15,2016
AALTO,"Katong, Marine Parade, Siglap",District 15,2010
